Event Title,Event Type,Event Description,Start Date,Start Time,End Date,End Time,Calendar Name,Created At
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,3/17/2015,,12/16/2014,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,7:30 PM,3/17/2015,,3/21/2015,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,7:30 PM,3/18/2015,,3/21/2015,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,7:30 PM,3/19/2015,,3/21/2015,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,7:30 PM,3/20/2015,,3/21/2015,,School Calendar,Mamaroneck Union Free School District
9 a.m. Mock ACT Test/MHS Post Entrance,Meeting,,3/21/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Mtg/MHS Tiered Clsm -- Budget Review,District Event,9:00 AM,3/21/2015,,,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,7:30 PM,3/21/2015,,3/21/2015,,School Calendar,Mamaroneck Union Free School District
Shakespeare Festival/HOM Aud,District Event,2:00 PM,3/22/2015,,,,School Calendar,Mamaroneck Union Free School District
9 a.m. & 7:30 p.m. MHS Parent Conversation w/Principal - Lib Clsm,Meeting,,3/24/2015,,,,School Calendar,Mamaroneck Union Free School District
Spring Recess -- Schools Closed,District Event,,3/30/2015,,,,School Calendar,Mamaroneck Union Free School District
Spring Recess -- Schools Closed,District Event,,3/31/2015,,,,School Calendar,Mamaroneck Union Free School District
Spring Recess -- Schools Closed,District Event,,4/1/2015,,,,School Calendar,Mamaroneck Union Free School District
Spring Recess -- Schools Closed,District Event,,4/2/2015,,,,School Calendar,Mamaroneck Union Free School District
GOOD FRIDAY,District Event,,4/3/2015,,,,School Calendar,Mamaroneck Union Free School District
PASSOVER BEGINS,District Event,,4/3/2015,,,,School Calendar,Mamaroneck Union Free School District
Spring Recess -- Schools Closed,District Event,,4/3/2015,,,,School Calendar,Mamaroneck Union Free School District
EASTER,District Event,,4/5/2015,,,,School Calendar,Mamaroneck Union Free School District
Snow Make Up or School Holiday,District Event,"If there have been 3 school closings, then school is in session",4/6/2015,,,,School Calendar,Mamaroneck Union Free School District
Schl Bd Study Session/MHS Lib Clsm,District Event,7:30 PM,4/7/2015,,12/2/2014,,School Calendar,Mamaroneck Union Free School District
MHS Symphony & Chamber Orch Ensemble Concert/McLain Aud,District Event,7:30 PM,4/9/2015,,,,School Calendar,Mamaroneck Union Free School District
